Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.59     0.00   133385     0.00     0.00  If_ManSetupNodeCutSet
  0.00      5.59     0.00   129456     0.00     0.00  Abc_SopGetVarNum
  0.00      5.59     0.00   128129     0.00     0.00  st__lookup
  0.00      5.59     0.00   119734     0.00     0.00  Abc_NodeSetTravIdCurrent
  0.00      5.59     0.00   118794     0.00     0.00  Mem_StepEntryFetch
  0.00      5.59     0.00    99578     0.00     0.00  cuddCacheLookup2
  0.00      5.59     0.00    99108     0.00     0.00  extraDecomposeCover
  0.00      5.59     0.00    86304     0.00     0.00  Abc_SopGetCubeNum
  0.00      5.59     0.00    80756     0.00     0.00  Abc_HashKey2
  0.00      5.59     0.00    80307     0.00     0.00  cuddUniqueInter
  0.00      5.59     0.00    79654     0.00     0.00  st__strhash
  0.00      5.59     0.00    76651     0.00     0.00  Cmd_FlagReadByName
  0.00      5.59     0.00    76649     0.00     0.00  Abc_FrameReadFlag
  0.00      5.59     0.00    76648     0.00     0.00  Abc_FrameIsFlagEnabled
  0.00      5.59     0.00    76634     0.00     0.00  Abc_NtkCheckObj
  0.00      5.59     0.00    70775     0.00     0.00  st__gen
  0.00      5.59     0.00    64728     0.00     0.00  Abc_NodeSortCubes
  0.00      5.59     0.00    64193     0.00     0.00  cuddBddAndRecur
  0.00      5.59     0.00    53356     0.00     0.00  Abc_AigConst1
  0.00      5.59     0.00    53354     0.00     0.00  Abc_AigAndLookup
  0.00      5.59     0.00    53181     0.00     0.00  Abc_NtkCreateObj
  0.00      5.59     0.00    53181     0.00     0.00  Abc_ObjAlloc
  0.00      5.59     0.00    49544     0.00     0.00  Dar_LibSetup_rec
  0.00      5.59     0.00    49263     0.00     0.00  st__add_direct
  0.00      5.59     0.00    49253     0.00     0.00  Gia_ManRandom
  0.00      5.59     0.00    48363     0.00     0.00  cuddBddIteRecur
  0.00      5.59     0.00    45782     0.00     0.00  Abc_ObjDeleteFanin
  0.00      5.59     0.00    45782     0.00     0.00  Hop_IthVar
  0.00      5.59     0.00    44322     0.00     0.00  Mem_FlexEntryFetch
  0.00      5.59     0.00    43906     0.00     0.00  Dar_LibAddNode
  0.00      5.59     0.00    43365     0.00     0.00  st__lookup_int
  0.00      5.59     0.00    43152     0.00     0.00  extraBddCountCubes
  0.00      5.59     0.00    33637     0.00     0.00  Fxch_ManComputeLevelDiv
  0.00      5.59     0.00    31097     0.00     0.00  Nm_HashNumber
  0.00      5.59     0.00    30846     0.00     0.00  Cudd_RecursiveDerefZdd
  0.00      5.59     0.00    29634     0.00     0.00  cuddCacheInsert2
  0.00      5.59     0.00    28090     0.00     0.00  If_ManSetupObj
  0.00      5.59     0.00    27502     0.00     0.00  Hop_Hash
  0.00      5.59     0.00    27372     0.00     0.00  Hop_TableLookup
  0.00      5.59     0.00    27039     0.00     0.00  Hop_And
  0.00      5.59     0.00    27021     0.00     0.00  Cudd_bddAnd
  0.00      5.59     0.00    26677     0.00     0.00  Abc_AigAnd
  0.00      5.59     0.00    26677     0.00     0.00  If_ManCreateAnd
  0.00      5.59     0.00    25459     0.00     0.00  Fxch_ManComputeLevelCube
  0.00      5.59     0.00    24373     0.00     0.00  Cudd_Deref
  0.00      5.59     0.00    23912     0.00     0.00  cuddCacheLookup2Zdd
  0.00      5.59     0.00    23465     0.00     0.00  Nm_ManTableLookupId
  0.00      5.59     0.00    22791     0.00     0.00  cuddReclaimZdd
  0.00      5.59     0.00    22746     0.00     0.00  Abc_ObjRemoveFanins
  0.00      5.59     0.00    22746     0.00     0.00  Abc_SopCheck
  0.00      5.59     0.00    22746     0.00     0.00  Abc_SopStart
  0.00      5.59     0.00    21580     0.00     0.00  st__free_table
  0.00      5.59     0.00    21580     0.00     0.00  st__init_table
  0.00      5.59     0.00    21580     0.00     0.00  st__init_table_with_params
  0.00      5.59     0.00    21579     0.00     0.00  st__free_gen
  0.00      5.59     0.00    21579     0.00     0.00  st__init_gen
  0.00      5.59     0.00    21576     0.00     0.00  Abc_ConvertBddToSop
  0.00      5.59     0.00    21576     0.00     0.00  Abc_NtkSopTranspose
  0.00      5.59     0.00    21576     0.00     0.00  Abc_SopIsComplement
  0.00      5.59     0.00    21576     0.00     0.00  Extra_TransferPermute
  0.00      5.59     0.00    21576     0.00     0.00  extraTransferPermuteRecur
  0.00      5.59     0.00    21575     0.00     0.00  Abc_ConvertAigToBdd_rec1
  0.00      5.59     0.00    21575     0.00     0.00  Abc_ConvertAigToBdd_rec2
  0.00      5.59     0.00    21575     0.00     0.00  Abc_ConvertZddToSop
  0.00      5.59     0.00    21575     0.00     0.00  Abc_ConvertZddToSop_rec
  0.00      5.59     0.00    21575     0.00     0.00  Abc_CountZddCubes
  0.00      5.59     0.00    21575     0.00     0.00  Abc_CountZddCubes_rec
  0.00      5.59     0.00    21575     0.00     0.00  Cudd_zddIsop
  0.00      5.59     0.00    21575     0.00     0.00  cuddZddIsop
  0.00      5.59     0.00    21112     0.00     0.00  Abc_NtkLevel_rec
  0.00      5.59     0.00    21111     0.00     0.00  Abc_ObjLevelNew
  0.00      5.59     0.00    21111     0.00     0.00  If_CutRotatePins
  0.00      5.59     0.00    21111     0.00     0.00  If_CutTruthPermute
  0.00      5.59     0.00    21111     0.00     0.00  If_CutTruthW
  0.00      5.59     0.00    21111     0.00     0.00  Kit_GraphToHop
  0.00      5.59     0.00    21111     0.00     0.00  Kit_GraphToHopInternal
  0.00      5.59     0.00    21111     0.00     0.00  Kit_TruthToHop
  0.00      5.59     0.00    14655     0.00     0.00  Nm_HashString
  0.00      5.59     0.00    13396     0.00     0.00  Mem_FixedEntryRecycle
  0.00      5.59     0.00    13395     0.00     0.00  Mem_StepEntryRecycle
  0.00      5.59     0.00    10788     0.00     0.00  Abc_ObjName
  0.00      5.59     0.00    10788     0.00     0.00  Nm_ManCreateUniqueName
  0.00      5.59     0.00     9118     0.00     0.00  Fxch_DivCreate
  0.00      5.59     0.00     7072     0.00     0.00  Dar_TruthPolarize
  0.00      5.59     0.00     7023     0.00     0.00  Nm_ManTableLookupName
  0.00      5.59     0.00     4237     0.00     0.00  Nm_ManFindNameById
  0.00      5.59     0.00     4220     0.00     0.00  Abc_ObjAssignName
  0.00      5.59     0.00     4220     0.00     0.00  Extra_MmFlexEntryFetch
  0.00      5.59     0.00     4220     0.00     0.00  Nm_ManStoreIdName
  0.00      5.59     0.00     4220     0.00     0.00  Nm_ManTableAdd
  0.00      5.59     0.00     2802     0.00     0.00  Nm_ManFindIdByName
  0.00      5.59     0.00     2159     0.00     0.00  cuddUniqueInterZdd
  0.00      5.59     0.00     1878     0.00     0.00  Abc_NtkDupObj
  0.00      5.59     0.00     1797     0.00     0.00  cuddAllocNode
  0.00      5.59     0.00     1702     0.00     0.00  Extra_UtilStrsav
  0.00      5.59     0.00     1474     0.00     0.00  cuddZddUnion
  0.00      5.59     0.00     1401     0.00     0.00  Abc_NtkIsAcyclic_rec
  0.00      5.59     0.00     1401     0.00     0.00  Nm_ManFindIdByNameTwoTypes
  0.00      5.59     0.00     1172     0.00     0.00  FreeGPUDataCache
  0.00      5.59     0.00     1170     0.00     0.00  Fxch_DivIsNotConstant1
  0.00      5.59     0.00     1170     0.00     0.00  Fxch_ManCreateCube
  0.00      5.59     0.00     1170     0.00     0.00  Fxch_ManExtractDivFromCubePairs
  0.00      5.59     0.00      945     0.00     0.00  If_ManCreateCi
  0.00      5.59     0.00      915     0.00     0.00  Fxch_DivRemoveLits
  0.00      5.59     0.00      896     0.00     0.00  cuddBddXorRecur
  0.00      5.59     0.00      833     0.00     0.00  st__delete
  0.00      5.59     0.00      833     0.00     0.00  st__insert
  0.00      5.59     0.00      786     0.00     0.00  cuddZddSubset0
  0.00      5.59     0.00      786     0.00     0.00  zdd_subset0_aux
  0.00      5.59     0.00      707     0.00     0.00  CmdCommandFree
  0.00      5.59     0.00      707     0.00     0.00  Cmd_CommandAdd
  0.00      5.59     0.00      669     0.00     0.00  cuddZddGetNode
  0.00      5.59     0.00      595     0.00     0.00  If_ManSetupSet
  0.00      5.59     0.00      524     0.00     0.00  cuddZddGetCofactors3
  0.00      5.59     0.00      524     0.00     0.00  cuddZddSubset1
  0.00      5.59     0.00      524     0.00     0.00  zdd_subset1_aux
  0.00      5.59     0.00      468     0.00     0.00  Abc_NodeIsConst
  0.00      5.59     0.00      467     0.00     0.00  Abc_AigDfs_rec
  0.00      5.59     0.00      467     0.00     0.00  Abc_NodeFromIf_rec
  0.00      5.59     0.00      467     0.00     0.00  If_ManCreateCo
  0.00      5.59     0.00      466     0.00     0.00  Abc_NtkDupBox
  0.00      5.59     0.00      465     0.00     0.00  Abc_ObjPatchFanin
  0.00      5.59     0.00      464     0.00     0.00  Abc_NtkCreateNodeBuf
  0.00      5.59     0.00      464     0.00     0.00  Vec_PtrPush
  0.00      5.59     0.00      426     0.00     0.00  cuddZddGetNodeIVO
  0.00      5.59     0.00      426     0.00     0.00  cuddZddProduct
  0.00      5.59     0.00      333     0.00     0.00  Hop_ObjConnect
  0.00      5.59     0.00      333     0.00     0.00  Hop_ObjCreate
  0.00      5.59     0.00      333     0.00     0.00  Hop_TableFind
  0.00      5.59     0.00      333     0.00     0.00  Hop_TableInsert
  0.00      5.59     0.00      269     0.00     0.00  CmdFreeArgv
  0.00      5.59     0.00      264     0.00     0.00  Extra_CpuTimeDouble
  0.00      5.59     0.00      262     0.00     0.00  cuddZddGetNegVarLevel
  0.00      5.59     0.00      262     0.00     0.00  cuddZddGetPosVarLevel
  0.00      5.59     0.00      219     0.00     0.00  Abc_SopComplement
  0.00      5.59     0.00      158     0.00     0.00  CmdSplitLine
  0.00      5.59     0.00      157     0.00     0.00  CmdApplyAlias
  0.00      5.59     0.00      157     0.00     0.01  CmdCommandDispatch
  0.00      5.59     0.00      153     0.00     0.00  Cmd_CommandExecute
  0.00      5.59     0.00      150     0.00     0.00  CmdHistorySubstitution
  0.00      5.59     0.00      137     0.00     0.00  Extra_UtilGetopt
  0.00      5.59     0.00      137     0.00     0.00  Fxch_DivSepareteCubes
  0.00      5.59     0.00      133     0.00     0.00  Extra_UtilGetoptReset
  0.00      5.59     0.00      132     0.00     0.00  cmdCheckShellEscape
  0.00      5.59     0.00      112     0.00     0.00  CmdCommandAlias
  0.00      5.59     0.00      112     0.00     0.00  CmdCommandAliasAdd
  0.00      5.59     0.00      112     0.00     0.00  CmdCommandAliasFree
  0.00      5.59     0.00       67     0.00     0.00  Abc_FrameIsBridgeMode
  0.00      5.59     0.00       28     0.00     0.00  Gluco::Option::Option(char const*, char const*, char const*, char const*)
  0.00      5.59     0.00       28     0.00     0.00  Gluco2::Option::Option(char const*, char const*, char const*, char const*)
  0.00      5.59     0.00       23     0.00     0.00  Mem_FixedStart
  0.00      5.59     0.00       23     0.00     0.00  Mem_FixedStop
  0.00      5.59     0.00       22     0.00     0.00  cuddComputeFloorLog2
  0.00      5.59     0.00       20     0.00     0.00  Abc_Print
  0.00      5.59     0.00       19     0.00     0.00  Abc_FrameReadNtk
  0.00      5.59     0.00       15     0.00     0.00  Cmd_CommandHandleSpecial
  0.00      5.59     0.00       14     0.00     0.00  CmdCommandSetVariable
  0.00      5.59     0.00       12     0.00     0.00  Gia_ManStopP
  0.00      5.59     0.00       10     0.00     0.00  Abc_FrameGetGlobalFrame
  0.00      5.59     0.00        9     0.00     0.00  Extra_FileNameExtension
  0.00      5.59     0.00        9     0.00     0.00  Mtr_AllocNode
  0.00      5.59     0.00        9     0.00     0.00  Mtr_DeallocNode
  0.00      5.59     0.00        9     0.00     0.00  rehash
  0.00      5.59     0.00        8     0.00     0.00  Abc_FrameShowProgress
  0.00      5.59     0.00        8     0.00     0.00  Cudd_bddIthVar
  0.00      5.59     0.00        8     0.00     0.00  Extra_ProgressBarStart
  0.00      5.59     0.00        8     0.00     0.00  Extra_ProgressBarStop
  0.00      5.59     0.00        8     0.00     0.00  Hop_ObjCreatePi
  0.00      5.59     0.00        8     0.00     0.00  Mtr_MakeGroup
  0.00      5.59     0.00        8     0.00     0.00  cuddUniqueConst
  0.00      5.59     0.00        6     0.00     0.00  Abc_Print
  0.00      5.59     0.00        6     0.00     0.00  Vec_MemHashInsert
  0.00      5.59     0.00        6     0.00     0.00  Vec_MemHashLookup
  0.00      5.59     0.00        5     0.00     0.00  Abc_NtkCleanCopy
  0.00      5.59     0.00        5     0.00     0.00  If_ManComputeRequired
  0.00      5.59     0.00        5     0.00     0.00  If_ManDelayMax
  0.00      5.59     0.00        5     0.00     0.00  If_ManMarkMapping
  0.00      5.59     0.00        5     0.00     0.60  If_ManPerformMappingRound
  0.00      5.59     0.00        4     0.00     0.00  Abc_Print
  0.00      5.59     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCiNames
  0.00      5.59     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCioNames
  0.00      5.59     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCoNames
  0.00      5.59     0.00        3     0.00     0.00  Abc_NtkDoCheck
  0.00      5.59     0.00        3     0.00     0.00  Abc_NtkIsAcyclic
  0.00      5.59     0.00        3     0.00     0.00  Abc_NtkSortCubes
  0.00      5.59     0.00        3     0.00     0.00  Cmd_HistoryAddCommand
  0.00      5.59     0.00        3     0.00     0.00  Nm_ManReturnNameIds
  0.00      5.59     0.00        3     0.00     0.00  cuddClearDeathRow
  0.00      5.59     0.00        2     0.00     0.00  Abc_FrameReplaceCurrentNetwork
  0.00      5.59     0.00        2     0.00     0.00  Abc_NtkAlloc
  0.00      5.59     0.00        2     0.00     0.00  Abc_NtkCheck
  0.00      5.59     0.00        2     0.00     0.00  Abc_NtkCreateNodeConst1
  0.00      5.59     0.00        2     0.00     0.00  Abc_NtkDelete
  0.00      5.59     0.00        2     0.00     0.00  Abc_Print
  0.00      5.59     0.00        2     0.00     0.00  Cudd_CheckZeroRef
  0.00      5.59     0.00        2     0.00     0.01  Cudd_Init
  0.00      5.59     0.00        2     0.00     0.00  Cudd_Quit
  0.00      5.59     0.00        2     0.00     0.00  Cudd_ReadOne
  0.00      5.59     0.00        2     0.00     0.00  Cudd_SetMinHit
  0.00      5.59     0.00        2     0.00     0.00  Dar_ArrayAlloc
  0.00      5.59     0.00        2     0.00     0.00  Dar_Factorial
  0.00      5.59     0.00        2     0.00     0.00  Dar_Permutations
  0.00      5.59     0.00        2     0.00     0.00  Dar_Permutations_rec
  0.00      5.59     0.00        2     0.00     0.00  Extra_GetSoftDataLimit
  0.00      5.59     0.00        2     0.00     0.00  Extra_MmFlexStart
  0.00      5.59     0.00        2     0.00     0.00  Extra_MmFlexStop
  0.00      5.59     0.00        2     0.00     0.00  Extra_StopManager
  0.00      5.59     0.00        2     0.00     0.00  Extra_UtilCheckFile
  0.00      5.59     0.00        2     0.00     0.00  Extra_UtilFileSearch
