Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    141.67     0.00    76650     0.00     0.00  Cmd_FlagReadByName
  0.00    141.67     0.00    76648     0.00     0.00  Abc_FrameIsFlagEnabled
  0.00    141.67     0.00    76648     0.00     0.00  Abc_FrameReadFlag
  0.00    141.67     0.00    76634     0.00     0.00  Abc_NtkCheckObj
  0.00    141.67     0.00    70775     0.00     0.00  st__gen
  0.00    141.67     0.00    64728     0.00     0.00  Abc_NodeSortCubes
  0.00    141.67     0.00    64143     0.00     0.00  cuddBddAndRecur
  0.00    141.67     0.00    53356     0.00     0.00  Abc_AigConst1
  0.00    141.67     0.00    53354     0.00     0.00  Abc_AigAndLookup
  0.00    141.67     0.00    53181     0.00     0.00  Abc_NtkCreateObj
  0.00    141.67     0.00    53181     0.00     0.00  Abc_ObjAlloc
  0.00    141.67     0.00    49544     0.00     0.00  Dar_LibSetup_rec
  0.00    141.67     0.00    49262     0.00     0.00  st__add_direct
  0.00    141.67     0.00    49253     0.00     0.00  Gia_ManRandom
  0.00    141.67     0.00    48363     0.00     0.00  cuddBddIteRecur
  0.00    141.67     0.00    45782     0.00     0.00  Abc_ObjDeleteFanin
  0.00    141.67     0.00    45782     0.00     0.00  Hop_IthVar
  0.00    141.67     0.00    44322     0.00     0.00  Mem_FlexEntryFetch
  0.00    141.67     0.00    43906     0.00     0.00  Dar_LibAddNode
  0.00    141.67     0.00    43365     0.00     0.00  st__lookup_int
  0.00    141.67     0.00    43152     0.00     0.00  extraBddCountCubes
  0.00    141.67     0.00    37974     0.00     0.00  Fxch_DivAdd
  0.00    141.67     0.00    33637     0.00     0.00  Fxch_ManComputeLevelDiv
  0.00    141.67     0.00    31097     0.00     0.00  Nm_HashNumber
  0.00    141.67     0.00    30797     0.00     0.00  Cudd_RecursiveDerefZdd
  0.00    141.67     0.00    30728     0.00     0.00  Fxch_ManDivDoubleCube
  0.00    141.67     0.00    29617     0.00     0.00  cuddReclaim
  0.00    141.67     0.00    29613     0.00     0.00  cuddCacheInsert2
  0.00    141.67     0.00    28090     0.00     0.00  If_ManSetupObj
  0.00    141.67     0.00    27502     0.00     0.00  Hop_Hash
  0.00    141.67     0.00    27372     0.00     0.00  Hop_TableLookup
  0.00    141.67     0.00    27039     0.00     0.00  Hop_And
  0.00    141.67     0.00    27021     0.00     0.00  Cudd_bddAnd
  0.00    141.67     0.00    26677     0.00     0.00  Abc_NodeIsExorType
  0.00    141.67     0.00    26677     0.00     0.00  If_ManCreateAnd
  0.00    141.67     0.00    25459     0.00     0.00  Fxch_ManComputeLevelCube
  0.00    141.67     0.00    24360     0.00     0.00  Cudd_Deref
  0.00    141.67     0.00    23905     0.00     0.00  cuddCacheLookup2Zdd
  0.00    141.67     0.00    23465     0.00     0.00  Nm_ManTableLookupId
  0.00    141.67     0.00    22782     0.00     0.00  cuddReclaimZdd
  0.00    141.67     0.00    22746     0.00     0.00  Abc_ObjRemoveFanins
  0.00    141.67     0.00    22746     0.00     0.00  Abc_SopCheck
  0.00    141.67     0.00    22746     0.00     0.00  Abc_SopStart
  0.00    141.67     0.00    21580     0.00     0.00  st__free_table
  0.00    141.67     0.00    21580     0.00     0.00  st__init_table
  0.00    141.67     0.00    21580     0.00     0.00  st__init_table_with_params
