Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.37     0.00    10122     0.00     0.00  Mem_StepEntryFetch
  0.00      1.37     0.00     9678     0.00     0.00  st__strhash
  0.00      1.37     0.00     9246     0.00     0.00  Abc_SopGetVarNum
  0.00      1.37     0.00     8994     0.00     0.00  cuddBddAndRecur
  0.00      1.37     0.00     8948     0.00     0.00  Abc_NodeSetTravIdCurrent
  0.00      1.37     0.00     8163     0.00     0.00  cuddCacheLookup2
  0.00      1.37     0.00     7938     0.00     0.00  Nm_HashNumber
  0.00      1.37     0.00     7492     0.00     0.00  Kit_SopIsCubeFree
  0.00      1.37     0.00     7481     0.00     0.00  If_CutPropagateRequired
  0.00      1.37     0.00     7090     0.00     0.00  extraDecomposeCover
  0.00      1.37     0.00     7072     0.00     0.00  Dar_TruthPolarize
  0.00      1.37     0.00     6990     0.00     0.00  Hsh_VecManAdd
  0.00      1.37     0.00     6675     0.00     0.00  Cmd_FlagReadByName
  0.00      1.37     0.00     6673     0.00     0.00  Abc_FrameReadFlag
  0.00      1.37     0.00     6672     0.00     0.00  Abc_FrameIsFlagEnabled
  0.00      1.37     0.00     6658     0.00     0.00  Abc_NtkCheckObj
  0.00      1.37     0.00     6366     0.00     0.00  cuddUniqueInter
  0.00      1.37     0.00     6164     0.00     0.00  Abc_SopGetCubeNum
  0.00      1.37     0.00     6019     0.00     0.00  Nm_ManTableLookupId
  0.00      1.37     0.00     6011     0.00     0.00  Cudd_RecursiveDerefZdd
  0.00      1.37     0.00     5773     0.00     0.00  st__gen
  0.00      1.37     0.00     5120     0.00     0.00  Kit_SopCommonCubeCover
  0.00      1.37     0.00     4751     0.00     0.00  Fxch_DivAdd
  0.00      1.37     0.00     4634     0.00     0.00  Abc_NtkCreateObj
  0.00      1.37     0.00     4634     0.00     0.00  Abc_ObjAlloc
  0.00      1.37     0.00     4623     0.00     0.00  Abc_NodeSortCubes
  0.00      1.37     0.00     4549     0.00     0.00  Abc_HashKey2
  0.00      1.37     0.00     4227     0.00     0.00  Gia_ManRandom
  0.00      1.37     0.00     4076     0.00     0.00  Abc_AigConst1
  0.00      1.37     0.00     4074     0.00     0.00  Abc_AigAndLookup
  0.00      1.37     0.00     3674     0.00     0.00  st__add_direct
  0.00      1.37     0.00     3641     0.00     0.00  Nm_HashString
  0.00      1.37     0.00     3483     0.00     0.00  Fxch_ManComputeLevelDiv
  0.00      1.37     0.00     3396     0.00     0.00  cuddBddIteRecur
  0.00      1.37     0.00     3379     0.00     0.00  Abc_ObjDeleteFanin
  0.00      1.37     0.00     3379     0.00     0.00  Hop_IthVar
  0.00      1.37     0.00     3296     0.00     0.00  FxchCuda_SCHashTableRemove
  0.00      1.37     0.00     3168     0.00     0.00  Mem_FlexEntryFetch
  0.00      1.37     0.00     3135     0.00     0.00  cuddCacheInsert2
  0.00      1.37     0.00     3103     0.00     0.00  st__lookup_int
  0.00      1.37     0.00     3082     0.00     0.00  extraBddCountCubes
  0.00      1.37     0.00     2741     0.00     0.00  Abc_ObjName
